country,category,url,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gibraltar,Europe,http://img.freeflagicons.com/thumb/round_icon/gibraltar/gibraltar_640.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Greece,Europe,https://cdn.countryflags.com/thumbs/greece/flag-button-round-250.png,196000,206000,172000,232000,184000,219000,240000,244156,228779,234890,226059,184690,272832,193217,270028,260031,223900,195763,295477,288217,337091,264747,308002,303725,261532,275311,301523,300110,311526,348800,242000,384900,321579,339451,325799,363142,306616,375345,279112,314504,247666,281082,207670,274704,250019,288703,251408,259822,268322,273804,274115,265822,253700,252240,267018,279665,253107,285000
Greenland,North America,https://image.flaticon.com/icons/svg/197/197453.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Grenada,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/grenada/flag-button-round-250.png,520,525,525,530,530,540,540,550,550,560,570,570,580,596,603,600,594,625,616,552,589,620,660,640,640,650,660,660,590,450,472,478,513,481,499,450,450,450,400,400,400,350,350,350,50,316,427,419,461,434,438,466,452,503,475,441,453,457
Guatemala,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guatemala/flag-button-round-250.png,3000,3000,3300,3450,3473,3611,3995,4500,4500,4600,4600,4800,5200,5200,5200,5500,5700,5500,4963,5227,5600,6000,6429,6888,7380,24890,24776,24642,25815,24849,27085,27181,27522,27140,27678,27789,28290,28888,28771,28540,19300,24916,19931,21922,22122,22244,22113,22113,22113,21773,22440,23242,24304,24812,26227,26499,25132,24800
Guinea,Africa,https://cdn.countryflags.com/thumbs/guinea/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guinea-Bissau,Africa,https://cdn.countryflags.com/thumbs/guinea-bissau/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Guyana,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/guyana/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Haiti,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/haiti/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Honduras,Latin America & the Caribbean,https://cdn.countryflags.com/thumbs/honduras/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",115,135,135,150,156,150,149,150,151,150,152,145,159,160,161,162,175,173,171,172,174,175,177,178,181,184,185,187,189
Hong Kong,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197570.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hungary,Europe,https://cdn.countryflags.com/thumbs/hungary/flag-button-round-250.png,349500,314900,503500,432200,378904,396490,674644,481679,818741,660829,620534,709349,780525,829015,808787,973940,1105448,779222,963956,1016585,1232428,1278919,1140627,1088172,953597,1252938,1064414,1130786,959074,945455,859195,665828,819358,656987,352984,551910,499925,481987,444508,694586,605440,526865,507505,700391,510361,537345,586113,568600,575368,496916,292810,650600,591870,779850,511460,497108,473662,674525
Iceland,Europe,https://cdn.countryflags.com/thumbs/iceland/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
India,Asia & the Pacific,https://cdn.countryflags.com/thumbs/india/flag-button-round-250.png,185000,160000,140000,110000,90000,97500,127000,163000,201000,277000,352000,433000,515000,592000,510000,500000,503500,545070,662020,658000,821790,926980,966600,985900,1005560,1258000,861404,995296,1084117,1093900,1175005,1147743,1168252,1300000,1200000,1211379,1308390,1320590,1380000,1050000,1230000,1160000,1470000,1521600,1739000,1814000,1624000,2001000,1985000,1777200,2891000,2203400,1915000,2497680,2134000,2521000,2265000,2327000
Indonesia,Asia & the Pacific,https://cdn.countryflags.com/thumbs/indonesia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Iran,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iran/flag-button-round-250.png,65000,65000,65000,68000,75000,78000,80000,80000,86500,88500,91102,89600,120000,170000,220000,380000,500000,450000,550000,600000,735890,930181,1028697,940299,1137762,1154322,1238119,1351291,1245568,1523980,1364407,1463072,1624183,2008051,1989653,1925423,1998107,1943627,2137037,2097244,2353359,2333896,2518733,2219145,2661901,2306941,2977881,2778775,2854420,2903572,3112900,3103883,3035493,2412494,2500000,2096749,2398831,2519249
Iraq,Asia & the Pacific,https://cdn.countryflags.com/thumbs/iraq/flag-button-round-250.png,20000,20000,22000,22000,23000,23000,24000,20000,30000,35000,42833,50000,60000,65000,73000,80000,85000,99680,101000,74000,105000,110000,115000,120000,120000,80000,65090,72000,75000,75000,65000,67000,68800,85500,90000,85000,80000,86000,93000,66000,70000,63000,64000,29000,25000,25000,31000,36362,36576,39601,45948,52318,62433,63376,42307,44495,47626,49813
