country,url,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Honduras,https://dynamospanish.com/wp-content/uploads/flags/images/Honduras/2/large/Honduras.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,9,17,29,54,78,104,115,96,86,89,87,89,85,88
Hong Kong,https://dynamospanish.com/wp-content/uploads/flags/images/Hong_Kong/2/large/Hong_Kong.png,0,0,0,0,0,0,0,0,0,1,2,3,3,4,8,13,21,35,49,64,81,85,94,108,120,125,137,155,166,180,196,216,230,237,235,230,240,249
Hungary,https://dynamospanish.com/wp-content/uploads/flags/images/Hungary/2/large/Hungary.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,10,15,30,48,67,78,86,92,99,110,122,118,120,118,117,117,119,120,120,123
Iceland,https://dynamospanish.com/wp-content/uploads/flags/images/Iceland/2/large/Iceland.png,0,0,0,0,0,0,1,2,2,3,3,5,5,6,8,11,17,23,37,62,76,87,91,97,99,95,100,106,108,107,106,106,108,108,112,116,120,122
India,https://dynamospanish.com/wp-content/uploads/flags/images/India/2/large/India.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,14,19,28,43,61,71,68,69,72,76,85,87
Indonesia,https://dynamospanish.com/wp-content/uploads/flags/images/Indonesia/2/large/Indonesia.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,8,13,20,27,40,59,68,87,101,113,124,127,131,147,173
Iran,https://dynamospanish.com/wp-content/uploads/flags/images/Iran/2/large/Iran.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,7,12,21,41,59,71,72,74,76,84,87,93,100,107
Iraq,https://dynamospanish.com/wp-content/uploads/flags/images/Iraq/2/large/Iraq.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,33,49,60,67,75,80,81,95,94,92,89,87
Ireland,https://dynamospanish.com/wp-content/uploads/flags/images/Ireland/2/large/Ireland.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,14,25,44,63,75,75,86,93,101,108,113,112,102,101,105,107,104,104,104,103,102
Israel,https://dynamospanish.com/wp-content/uploads/flags/images/Israel/2/large/Israel.png,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,19,29,37,48,73,89,100,104,111,117,124,128,126,124,122,121,119,121,119,131,129,126
Italy,https://dynamospanish.com/wp-content/uploads/flags/images/Italy/2/large/Italy.png,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,11,20,35,52,73,89,93,97,107,121,136,151,151,150,156,160,162,162,150,147,144,141
Jamaica,https://dynamospanish.com/wp-content/uploads/flags/images/Jamaica/2/large/Jamaica.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,13,22,46,58,67,72,82,96,97,105,112,104,95,99,105,109,113,106
Japan,https://dynamospanish.com/wp-content/uploads/flags/images/Japan/2/large/Japan.png,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,9,21,30,37,44,52,58,63,67,71,75,77,83,85,90,95,103,109,115,123,125,130,133
Jordan,https://dynamospanish.com/wp-content/uploads/flags/images/Jordan/2/large/Jordan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,16,23,24,29,54,73,77,81,88,92,98,112,122,125,150,103,0
Kazakhstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kazakhstan/2/large/Kazakhstan.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,8,15,34,49,77,93,105,118,151,178,176,163,148,141,145
Kenya,https://dynamospanish.com/wp-content/uploads/flags/images/Kenya/2/large/Kenya.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,12,19,29,41,48,60,66,70,71,73,79,80,86
