country,category,url,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Latvia,Europe,https://cdn.countryflags.com/thumbs/latvia/flag-button-round-250.png,22570501,22231495,16054032,14216733,13199883,12160266,13878480,13989707,13436306,11205908,10975836,11328857,10969216,14148234,14045859,12516187,14426603,15885497,15162281,13059325,13000510,12611089,13031962,12707694,12372086,12388687,12522553,12885978
Lebanon,Asia & the Pacific,https://cdn.countryflags.com/thumbs/lebanon/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lesotho,Africa,https://cdn.countryflags.com/thumbs/lesotho/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Liberia,Africa,https://cdn.countryflags.com/thumbs/liberia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Libya,Africa,https://cdn.countryflags.com/thumbs/libya/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Liechtenstein,Europe,https://cdn.countryflags.com/thumbs/liechtenstein/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lithuania,Europe,https://cdn.countryflags.com/thumbs/lithuania/flag-button-round-250.png,42534699,51313730,34645043,24604692,26163257,26738259,23565514,22183665,21005854,18331762,16662731,17029539,20787012,20087045,20307520,20772498,23401113,24767881,23715307,20590897,20772431,23548106,22167211,21940761,21712946,22284305,22584676,22974983
Luxembourg,Europe,https://cdn.countryflags.com/thumbs/luxembourg/flag-button-round-250.png,11847734,12466071,12217953,12361327,11552153,9159850,9208660,8565567,7686630,7936814,7172548,7710853,8395263,10266954,12456808,13662471,16462594,10867042,24068049,25140330,24304581,10345642,23628903,23347483,22635018,23394499,23049549,23546444
Macao,Asia & the Pacific,https://image.flaticon.com/icons/svg/197/197493.svg,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Macedonia,Europe,https://cdn.countryflags.com/thumbs/macedonia/flag-button-round-250.png,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Madagascar,Africa,https://cdn.countryflags.com/thumbs/madagascar/flag-button-round-250.png,1386673,1486098,1467109,1544311,1804286,1886107,1614773,1914474,2411777,2738235,2359109,2377161,1680686,2992811,2605008,3274784,2738094,3032671,3763160,3661012,3428312,3756918,4256903,4757598,4974431,5103825,5248414,5677801
