country,url,category,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ireland,https://dynamospanish.com/wp-content/uploads/flags/images/Ireland/2/large/Ireland.png,Europe,3577000,3621000,3530000,3575000,3510000,3607000,3682000,3678000,3704000,3727000,3722000,3583000,3592000,3573000,3485000,3503000,3532000,3582000,3571000,3591000,3600000,3598000,3600000
Israel,https://dynamospanish.com/wp-content/uploads/flags/images/Israel/2/large/Israel.png,Asia & the Pacific,3423000,3447000,3395000,3350000,3465000,3503000,3508000,3499000,3482000,3553000,3603000,3698000,3576000,3621000,3633000,3624000,3525000,3523000,3514000,3535000,3546000,3603000,3610000
Italy,https://dynamospanish.com/wp-content/uploads/flags/images/Italy/2/large/Italy.png,Europe,3648000,3543000,3473000,3489000,3508000,3567000,3582000,3674000,3695000,3668000,3671000,3661000,3621000,3626000,3567000,3625000,3618000,3595000,3599000,3583000,3575000,3575000,3579000
Jamaica,https://dynamospanish.com/wp-content/uploads/flags/images/Jamaica/2/large/Jamaica.png,Latin America & the Caribbean,2578000,2626000,2706000,2717000,2684000,2717000,2697000,2710000,2725000,2729000,2798000,2795000,2810000,2792000,2795000,2792000,2791000,2747000,2749000,2762000,2768000,2754000,2746000
Japan,https://dynamospanish.com/wp-content/uploads/flags/images/Japan/2/large/Japan.png,Asia & the Pacific,2934000,2943000,2926000,2932000,2920000,2963000,2938000,2895000,2897000,2899000,2889000,2853000,2842000,2842000,2829000,2778000,2817000,2734000,2675000,2685000,2712000,2740000,2726000
Jordan,https://dynamospanish.com/wp-content/uploads/flags/images/Jordan/2/large/Jordan.png,Asia & the Pacific,2822000,2739000,2727000,2630000,2687000,2659000,2748000,2727000,2657000,2727000,2839000,2938000,3076000,3122000,3119000,3153000,3123000,3072000,3099000,3104000,3139000,3141000,3100000
Kazakhstan,https://dynamospanish.com/wp-content/uploads/flags/images/Kazakhstan/2/large/Kazakhstan.png,Asia & the Pacific,3032000,2945000,2946000,2945000,2871000,2863000,2855000,2726000,2743000,2807000,2890000,2935000,2973000,2979000,3033000,3073000,3161000,3186000,3153000,3143000,3207000,3187000,3264000
Kenya,https://dynamospanish.com/wp-content/uploads/flags/images/Kenya/2/large/Kenya.png,Africa,2025000,1927000,1886000,2057000,2055000,2051000,2017000,2049000,2077000,2049000,2066000,2023000,2004000,2022000,2161000,2161000,2110000,2106000,2165000,2160000,2170000,2192000,2206000
Kiribati,https://dynamospanish.com/wp-content/uploads/flags/images/Kiribati/2/large/Kiribati.png,Asia & the Pacific,2716000,2725000,2773000,2671000,2804000,2765000,2768000,2837000,2859000,2842000,2884000,2855000,2872000,2840000,2935000,2903000,2894000,2881000,2941000,2960000,3027000,3055000,3040000
Kuwait,https://dynamospanish.com/wp-content/uploads/flags/images/Kuwait/2/large/Kuwait.png,Asia & the Pacific,1900000,2219000,2488000,2927000,3212000,3266000,3338000,3357000,3396000,3435000,3482000,3445000,3501000,3507000,3576000,3587000,3571000,3512000,3472000,3464000,3468000,3440000,3501000
